#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],                de [deg],                dr [deg],          tau [per-unit],           dadot [deg/s],           dedot [deg/s],           drdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],        deddot [deg/s/s],        drddot [deg/s/s],  tauddot [per-unit/s/s]
 2.9980013324450366e-01, -2.2800658545645547e+00,  1.9220478471943071e+01,  2.0510276976343885e+01,  3.4417781910580253e+01,  1.2137626315149173e-01,  6.3836772925815186e+00,  1.9010813178411522e+02,  5.7483432174901017e-01, -7.9191295145210461e-01,  3.6854637483806066e+01,  2.5169571523090011e+00,  1.8281706152321049e+00,  2.1500000000000000e+01,  4.1712238310463299e+00, -8.6713982352738412e+00, -3.4654941212385326e-03,  0.0000000000000000e+00, -2.9879136493324040e+01,  6.6757475613683340e+01, -6.5479503467024682e-03,  0.0000000000000000e+00,  8.8797922757463496e+01, -4.3830498122187986e+00,  4.3765356881769441e-02
 3.0979347101932042e-01, -2.2615790299879563e+00,  1.8944962081065924e+01,  2.0108194078964527e+01,  2.8869007850291570e+01, -2.5926745969049708e-01,  6.5218143536804254e+00,  1.9644050271710526e+02,  6.3121853678952466e-01, -8.4991682192048756e-01,  3.7175359351621900e+01,  2.4775501987112922e+00,  1.8794467899168639e+00,  2.1500000000000000e+01,  3.8770655098396478e+00, -8.0044870930514431e+00, -3.5287446477171303e-03,  0.0000000000000000e+00, -2.8947428418854134e+01,  6.6530216389077324e+01, -6.1101583936321816e-03,  0.0000000000000000e+00,  9.7667919879784876e+01, -4.1099096338930401e+01,  4.3851405992697198e-02
 3.1978680879413723e-01, -2.2396369109452507e+00,  1.8609975794171355e+01,  1.9692279675443832e+01,  2.3475519437133077e+01, -6.0808224044087245e-01,  6.6388643842158688e+00,  2.0277262339164557e+02,  6.9060687656813691e-01, -9.0921009230623895e-01,  3.7441245726345308e+01,  2.4342112473741664e+00,  1.9293185348662558e+00,  2.1500000000000000e+01,  3.5926609712424500e+00, -7.3416803860584388e+00, -3.5876158746089293e-03,  0.0000000000000000e+00, -2.7940475571596945e+01,  6.5966966149182767e+01, -5.6717215823628830e-03,  0.0000000000000000e+00,  1.0385690995127577e+02, -7.1626051671930213e+01,  4.3894414502661738e-02
 3.2978014656895405e-01, -2.2147289862479056e+00,  1.8219792084767345e+01,  1.9265181663535319e+01,  1.8234741936823131e+01, -9.2694006972798071e-01,  6.7338983633752694e+00,  2.0910450273364805e+02,  7.5299695558529778e-01, -9.6970067727488640e-01,  3.7653836670897867e+01,  2.3873753109656666e+00,  1.9778087396821193e+00,  2.1500000000000000e+01,  3.3186282898876756e+00, -6.6860267436340628e+00, -3.6421035067916718e-03,  0.0000000000000000e+00, -2.6882610085707530e+01,  6.5125035360485541e+01, -5.2331385604438381e-03,  0.0000000000000000e+00,  1.0785723595807454e+02, -9.6872363506045673e+01,  4.3880667617406124e-02
 3.3977348434377080e-01, -2.1873188834018720e+00,  1.7778748508514667e+01,  1.8829182157782380e+01,  1.3143899688213130e+01, -1.2176691206008761e+00,  6.8062033500652657e+00,  2.1543614933834695e+02,  8.1838265361047502e-01, -1.0312994520627399e+00,  3.7814645658166157e+01,  2.3374626125208802e+00,  2.0249358836551763e+00,  2.1500000000000000e+01,  3.0553669655321065e+00, -6.0400474341500008e+00, -3.6922089171227968e-03, -6.5232593232193095e+00, -2.5793579159409934e+01,  6.4051290904757565e+01, -4.7950452029896428e-03, -1.3055216325536251e+03,  1.1009415342495085e+02, -1.1801969356698075e+02,  4.3796416321093413e-02
 3.4976682211858762e-01, -2.1578429315917447e+00,  1.7291152784503616e+01,  1.8386225318040356e+01,  8.2085654232434102e+00, -1.4820306919913815e+00,  6.8558168862278537e+00,  2.2176757144109638e+02,  8.8675433350949873e-01, -1.0939205487957224e+00,  3.7925180803176467e+01,  2.2848772220287752e+00,  2.0707145029562879e+00,  2.1369621732380693e+01,  2.8031003919647590e+00, -5.4058543737854778e+00, -3.7379405195096527e-03, -2.8312137397995478e+01, -2.4689152022998833e+01,  6.2764596769043401e+01, -4.3581937478865554e-03, -3.0551591661449138e+03,  1.1093853080879070e+02, -1.3949069279394607e+02,  4.3632121560204622e-02
 3.5976015989340437e-01, -2.1267083140221530e+00,  1.6761065772498981e+01,  1.7937884477251959e+01,  3.4706490057623198e+00, -1.7216772869274073e+00,  6.8853672402972288e+00,  2.2809877682857822e+02,  9.5809775367942895e-01, -1.1574825823281572e+00,  3.7987179391394882e+01,  2.2299972537303359e+00,  2.1151668542771453e+00,  2.0934134495709618e+01,  2.5619128944528495e+00, -4.7855918025235509e+00, -3.7793147215442469e-03, -5.5459771255118717e+01, -2.3581624569382626e+01,  6.1241228931170632e+01, -3.9233979618136438e-03, -2.3779872897940199e+03,  1.1071463024159942e+02, -1.6538599049232477e+02,  4.3385008425854084e-02
 3.6975349766822119e-01, -2.0942836958819271e+00,  1.6192511804722496e+01,  1.7485333661689157e+01, -1.0211677833600596e+00, -1.9381148104651973e+00,  6.8981750105446524e+00,  2.3442977275409001e+02,  1.0323927503722041e+00, -1.2219099825797457e+00,  3.8002874033150761e+01,  2.1731636449802845e+00,  2.1583365819942331e+00,  2.0261165278247741e+01,  2.3317821127632410e+00, -4.1818458008773378e+00, -3.8163562016245156e-03, -7.3437655973965931e+01, -2.2480322775735342e+01,  5.9449313314037354e+01, -3.4914864529292169e-03, -1.2199867052712714e+03,  1.0969256872701074e+02, -1.9323605501660964e+02,  4.3054881552215943e-02
 3.7974683544303794e-01, -2.0608984303007674e+00,  1.5589610555633357e+01,  1.7029431889321646e+01, -5.2364173084604060e+00, -2.1327133293351772e+00,  6.8966190095191902e+00,  2.4076056598707129e+02,  1.1096140150176057e+00, -1.2871326202075579e+00,  3.7974900320100531e+01,  2.1146832994742586e+00,  2.2002843124044453e+00,  1.9466359892632351e+01,  2.1126059768831893e+00, -3.5973976656673750e+00, -3.8490979284648841e-03, -7.9766762793623585e+01, -2.1392170292401211e+01,  5.7390248878499662e+01, -3.0632930297296518e-03, -4.6678539569546444e+01,  1.0808301493759372e+02, -2.1885137401566334e+02,  4.2640895544123751e-02
 3.8974017321785476e-01, -2.0268467375128694e+00,  1.4956585103075811e+01,  1.6570837971234607e+01, -9.1719122704517329e+00, -2.3067362859577170e+00,  6.8815079615919892e+00,  2.4709116290418848e+02,  1.1897326682748341e+00, -1.3530847313304548e+00,  3.7906066328007732e+01,  2.0548379984729670e+00,  2.2410763462484007e+00,  1.8666892870647004e+01,  1.9042237458265081e+00, -3.0348055168300432e+00, -3.8775812455231762e-03, -8.0000000000000043e+01, -2.0322237764727610e+01,  5.5101865033666094e+01, -2.6396671818065369e-03,  7.1149044187121902e-11,  1.0604614826748264e+02, -2.3913051279702793e+02,  4.2140757486889016e-02
