numberIndependentVariables,"""=""",9,,,,,,,,,,,,
velocity,elevator,aileron,rudder,p,q,r,alpha,beta,Cx,Cy,Cz,Cl,Cm,Cn
100,-20,-10,-30,-90,-30,0,-15,-2,0.06299296,-0.009729926,0.022663384,6.07E-05,0.006134009,0.001470145
100,-20,-10,-30,-90,-30,0,-15,0,0.063137496,-0.009877487,0.022437755,7.06E-05,0.006054589,0.001494622
100,-20,-10,-30,-90,-30,0,-15,2,0.063126787,-0.010127856,0.022650388,8.27E-05,0.006090235,0.001530371
100,-20,-10,-30,-90,-30,0,-15,4,0.063115188,-0.010377912,0.02286403,9.48E-05,0.006125832,0.001566076
100,-20,-10,-30,-90,-30,0,-15,6,0.063102698,-0.010627655,0.023078686,0.00010691,0.006161382,0.001601738
100,-20,-10,-30,-90,-30,0,-15,8,0.063089318,-0.010877085,0.023294359,0.000119,0.006196886,0.001637356
100,-20,-10,-30,-90,-30,0,-10,-8,0.062563357,-0.0089427,0.023169948,2.51E-05,0.006308727,0.001336222
100,-20,-10,-30,-90,-30,0,-10,-6,0.062710063,-0.009090227,0.022940862,3.51E-05,0.006229332,0.001360688
100,-20,-10,-30,-90,-30,0,-10,-4,0.062856042,-0.009237771,0.02271288,4.51E-05,0.00614991,0.001385159
100,-20,-10,-30,-90,-30,0,-10,-2,0.063001295,-0.009385331,0.022486,5.51E-05,0.006070461,0.001409633
100,-20,-10,-30,-90,-30,0,-10,0,0.06314582,-0.009532908,0.022260217,6.50E-05,0.005990985,0.001434112
100,-20,-10,-30,-90,-30,0,-10,2,0.063135115,-0.009783321,0.022472699,7.71E-05,0.006026575,0.001469869
100,-20,-10,-30,-90,-30,0,-10,4,0.063123519,-0.010033421,0.02268619,8.92E-05,0.006062116,0.001505583
100,-20,-10,-30,-90,-30,0,-10,6,0.063111033,-0.010283208,0.022900694,0.000101291,0.006097609,0.001541254
100,-20,-10,-30,-90,-30,0,-10,8,0.063097656,-0.010532682,0.023116215,0.000113384,0.006133057,0.00157688
100,-20,-10,-30,-90,-30,0,-5,-8,0.062561982,-0.008560656,0.02299626,2.03E-05,0.006246858,0.001270782
100,-20,-10,-30,-90,-30,0,-5,-6,0.062708676,-0.008708198,0.022767001,3.03E-05,0.0061674,0.001295249
100,-20,-10,-30,-90,-30,0,-5,-4,0.062854644,-0.008855757,0.022538846,4.03E-05,0.006087914,0.00131972
100,-20,-10,-30,-90,-30,0,-5,-2,0.062999885,-0.009003334,0.022311792,5.03E-05,0.006008402,0.001344195
100,-20,-10,-30,-90,-30,0,-5,0,0.063144399,-0.009150926,0.022085836,6.02E-05,0.005928861,0.001368675
100,-20,-10,-30,-90,-30,0,-5,2,0.063133699,-0.009401386,0.022298148,7.23E-05,0.005964388,0.001404441
100,-20,-10,-30,-90,-30,0,-5,4,0.063122108,-0.009651532,0.022511468,8.44E-05,0.005999866,0.001440165
100,-20,-10,-30,-90,-30,0,-5,6,0.063109626,-0.009901366,0.022725802,9.65E-05,0.006035297,0.001475844
100,-20,-10,-30,-90,-30,0,-5,8,0.063096254,-0.010150888,0.022941153,0.000108633,0.006070681,0.001511481
100,-20,-10,-30,-90,-30,0,0,-8,0.062558772,-0.008177193,0.022823819,1.55E-05,0.006185521,0.001205125
100,-20,-10,-30,-90,-30,0,0,-6,0.062705455,-0.008324751,0.022594386,2.56E-05,0.006105999,0.001229593
100,-20,-10,-30,-90,-30,0,0,-4,0.062851412,-0.008472326,0.022366058,3.56E-05,0.00602645,0.001254065
100,-20,-10,-30,-90,-30,0,0,-2,0.062996642,-0.008619918,0.022138832,4.55E-05,0.005946873,0.001278541
100,-20,-10,-30,-90,-30,0,0,0,0.063141144,-0.008767526,0.021912703,5.55E-05,0.00586727,0.001303021
100,-20,-10,-30,-90,-30,0,0,2,0.063130448,-0.009018033,0.022124844,6.76E-05,0.005902734,0.001338797
100,-20,-10,-30,-90,-30,0,0,4,0.063118861,-0.009268227,0.022337995,7.97E-05,0.005938149,0.001374529
100,-20,-10,-30,-90,-30,0,0,6,0.063106384,-0.009518107,0.022552159,9.18E-05,0.005973516,0.001410218
100,-20,-10,-30,-90,-30,0,0,8,0.063093016,-0.009767675,0.022767339,0.000103879,0.006008838,0.001445864
100,-20,-10,-30,-90,-30,0,5,-8,0.062400135,-0.007870676,0.023041675,9.00E-06,0.006268692,0.001149488
100,-20,-10,-30,-90,-30,0,5,-6,0.062546818,-0.008018212,0.022812051,1.91E-05,0.006189099,0.001173951
100,-20,-10,-30,-90,-30,0,5,-4,0.062692775,-0.008165764,0.022583531,2.91E-05,0.00610948,0.001198419
100,-20,-10,-30,-90,-30,0,5,-2,0.062838005,-0.008313334,0.022356113,3.90E-05,0.006029833,0.001222891
100,-20,-10,-30,-90,-30,0,5,0,0.062982507,-0.008460919,0.022129792,4.90E-05,0.005950158,0.001247367
100,-20,-10,-30,-90,-30,0,5,2,0.062971827,-0.008711435,0.022341745,6.11E-05,0.005985552,0.001283148
100,-20,-10,-30,-90,-30,0,5,4,0.062960256,-0.008961638,0.022554707,7.32E-05,0.006020898,0.001318885
100,-20,-10,-30,-90,-30,0,5,6,0.062947794,-0.009211528,0.022768683,8.53E-05,0.006056195,0.001354578
100,-20,-10,-30,-90,-30,0,5,8,0.062934443,-0.009461105,0.022983675,9.74E-05,0.006091447,0.001390229
100,-20,-10,-30,-90,-30,0,10,-8,0.062239702,-0.00756603,0.023260936,2.42E-06,0.006352443,0.001094052
100,-20,-10,-30,-90,-30,0,10,-6,0.062386385,-0.007713543,0.023031119,1.25E-05,0.00627278,0.001118512
100,-20,-10,-30,-90,-30,0,10,-4,0.062532341,-0.007861073,0.022802408,2.25E-05,0.006193089,0.001142975
100,-20,-10,-30,-90,-30,0,10,-2,0.062677571,-0.00800862,0.022574798,3.25E-05,0.006113372,0.001167443
100,-20,-10,-30,-90,-30,0,10,0,0.062822074,-0.008156183,0.022348285,4.24E-05,0.006033626,0.001191915
100,-20,-10,-30,-90,-30,0,10,2,0.06281141,-0.008406708,0.02256005,5.45E-05,0.006068951,0.0012277
100,-20,-10,-30,-90,-30,0,10,4,0.062799855,-0.00865692,0.022772824,6.66E-05,0.006104226,0.001263442
100,-20,-10,-30,-90,-30,0,10,6,0.062787409,-0.008906818,0.02298661,7.88E-05,0.006139453,0.00129914
100,-20,-10,-30,-90,-30,0,10,8,0.062774073,-0.009156405,0.023201414,9.09E-05,0.006174635,0.001334795
100,-20,-10,-30,-90,-30,0,15,-8,0.062086491,-0.00729911,0.02347882,-5.08E-06,0.006435463,0.001043523
100,-20,-10,-30,-90,-30,0,15,-6,0.062233175,-0.007446601,0.02324883,4.98E-06,0.006355735,0.001067978
100,-20,-10,-30,-90,-30,0,15,-4,0.062379133,-0.007594108,0.023019946,1.50E-05,0.006275981,0.001092438
100,-20,-10,-30,-90,-30,0,15,-2,0.062524363,-0.007741633,0.022792162,2.50E-05,0.006196199,0.001116902
100,-20,-10,-30,-90,-30,0,15,0,0.062668867,-0.007889174,0.022565477,3.49E-05,0.00611639,0.00114137
100,-20,-10,-30,-90,-30,0,15,2,0.062658217,-0.008139705,0.022777072,4.70E-05,0.006151651,0.001177159
100,-20,-10,-30,-90,-30,0,15,4,0.062646677,-0.008389923,0.022989676,5.92E-05,0.006186864,0.001212905
100,-20,-10,-30,-90,-30,0,15,6,0.062634246,-0.008639827,0.023203293,7.13E-05,0.006222028,0.001248607
100,-20,-10,-30,-90,-30,0,15,8,0.062620925,-0.008889419,0.023417926,8.34E-05,0.006257147,0.001284265
100,-20,-10,-30,-90,-30,0,20,-8,0.061941009,-0.007069598,0.023694949,-1.35E-05,0.006517592,0.000997862
100,-20,-10,-30,-90,-30,0,20,-6,0.062087694,-0.007217067,0.023464805,-3.43E-06,0.006437808,0.001022314
100,-20,-10,-30,-90,-30,0,20,-4,0.062233653,-0.007364553,0.023235766,6.60E-06,0.006357996,0.001046771
100,-20,-10,-30,-90,-30,0,20,-2,0.062378885,-0.007512055,0.023007829,1.66E-05,0.006278158,0.001071231
100,-20,-10,-30,-90,-30,0,20,0,0.06252339,-0.007659574,0.02278099,2.65E-05,0.006198292,0.001095696
100,-20,-10,-30,-90,-30,0,20,2,0.062512754,-0.007910108,0.022992434,3.86E-05,0.006233497,0.001131488
100,-20,-10,-30,-90,-30,0,20,4,0.062501228,-0.008160329,0.023204887,5.08E-05,0.006268653,0.001167237
100,-20,-10,-30,-90,-30,0,20,6,0.06248881,-0.008410237,0.023418352,6.29E-05,0.006303762,0.001202943
100,-20,-10,-30,-90,-30,0,20,8,0.062475503,-0.008659832,0.023632835,7.50E-05,0.006338824,0.001238605
100,-20,-10,-30,-90,-30,30,-20,-8,0.058499523,-0.009694319,0.024393243,3.39E-05,0.006748443,0.00145563
100,-20,-10,-30,-90,-30,30,-20,-6,0.058628808,-0.009836487,0.024200388,4.48E-05,0.006681998,0.001479007
100,-20,-10,-30,-90,-30,30,-20,-4,0.05875804,-0.009978755,0.024008763,5.58E-05,0.00661557,0.001502402
100,-20,-10,-30,-90,-30,30,-20,-2,0.05888722,-0.010121122,0.023818366,6.67E-05,0.006549158,0.001525814
100,-20,-10,-30,-90,-30,30,-20,0,0.059016348,-0.010263587,0.023629193,7.76E-05,0.006482763,0.001549243
100,-20,-10,-30,-90,-30,30,-20,2,0.059007853,-0.010492609,0.023813987,9.04E-05,0.006508554,0.001581691
100,-20,-10,-30,-90,-30,30,-20,4,0.058999152,-0.01072142,0.023999931,0.000103243,0.006534345,0.001614113
100,-20,-10,-30,-90,-30,30,-20,6,0.058990245,-0.010950019,0.024187031,0.00011608,0.006560138,0.001646509
100,-20,-10,-30,-90,-30,30,-20,8,0.058981134,-0.011178406,0.024375289,0.000128917,0.006585936,0.001678878
100,-20,-10,-30,-90,-30,30,-15,-8,0.058518563,-0.009387547,0.024215225,2.72E-05,0.00668431,0.001400067
100,-20,-10,-30,-90,-30,30,-15,-6,0.058647827,-0.00952975,0.024022275,3.82E-05,0.006617829,0.001423448
